ID,Country,Population,Target Merchants,Average Age,Phase,Total Launch Requirement
97,Austria,9006398,2567,43,Contact Us,"$641,706 "
75,Guinea,13132795,2561,18,Contact Us,"$640,224 "
115,Denmark,5792202,2549,42,Live,"$637,142 "
99,Serbia,8737371,2446,42,Contact Us,"$611,616 "
116,Finland,5540720,2383,43,Contact Us,"$595,627 "
112,El Salvador,6486205,2367,28,Contact Us,"$591,866 "
119,Norway,5421241,2250,40,Contact Us,"$562,454 "
120,Oman,5106626,2221,31,Contact Us,"$555,346 "
106,Paraguay,7132538,2211,26,Contact Us,"$552,772 "
126,New Zealand,4822233,2098,38,Groundwork,"$524,418 "
56,Niger,24206644,2058,15,Contact Us,"$514,391 "
114,Singapore,5850342,2048,42,Contact Us,"$511,905 "
121,State of Palestine,5101414,2041,21,Contact Us,"$510,141 "
122,Costa Rica,5094118,2038,33,Contact Us,"$509,412 "
71,Cambodia,16718965,2006,26,Contact Us,"$501,569 "
168,Montenegro,628066,2000,39,Contact Us,"$500,000 "
169,Luxembourg,625978,2000,40,Contact Us,"$500,000 "
170,Western Sahara,597339,2000,28,Contact Us,"$500,000 "
171,Suriname,586632,2000,29,Contact Us,"$500,000 "
117,Congo,5518087,1931,19,Contact Us,"$482,833 "
58,Sri Lanka,21413249,1927,34,Contact Us,"$481,798 "
72,Chad,16425864,1889,17,Contact Us,"$472,244 "
110,Nicaragua,6624554,1888,26,Contact Us,"$471,999 "
102,Togo,8278724,1780,19,Contact Us,"$444,981 "
62,Malawi,19129952,1722,18,Contact Us,"$430,424 "
103,Sierra Leone,7976983,1715,19,Contact Us,"$428,763 "
134,Uruguay,3473730,1667,36,Contact Us,"$416,848 "
113,Turkmenistan,6031200,1598,27,Contact Us,"$399,567 "
124,Ireland,4937786,1555,38,Contact Us,"$388,851 "
129,Kuwait,4270571,1495,37,Contact Us,"$373,675 "
118,Slovakia,5459642,1474,41,Contact Us,"$368,526 "
128,Panama,4314767,1467,30,Contact Us,"$366,755 "
84,South Sudan,11193725,1399,19,Contact Us,"$349,804 "
139,Qatar,2881053,1383,32,Contact Us,"$345,726 "
123,Liberia,5057681,1340,19,Contact Us,"$335,071 "
127,Mauritania,4649658,1325,20,Contact Us,"$331,288 "
105,Laos,7275560,1310,24,Contact Us,"$327,400 "
95,Tajikistan,9537645,1288,22,Contact Us,"$321,896 "
172,Cabo Verde,555987,1200,28,Contact Us,"$300,000 "
173,Maldives,540544,1200,30,Contact Us,"$300,000 "
174,Malta,441543,1200,43,Contact Us,"$300,000 "
175,Brunei,437479,1200,32,Contact Us,"$300,000 "
176,Guadeloupe,400124,1200,44,Contact Us,"$300,000 "
177,Belize,397628,1200,25,Contact Us,"$300,000 "
178,Bahamas,393244,1200,32,Contact Us,"$300,000 "
179,Martinique,375265,1200,47,Contact Us,"$300,000 "
180,Iceland,341243,1200,37,Contact Us,"$300,000 "
181,Vanuatu,307145,1200,21,Contact Us,"$300,000 "
182,French Guiana,298682,1200,25,Contact Us,"$300,000 "
183,Barbados,287375,1200,40,Contact Us,"$300,000 "
184,New Caledonia,285498,1200,34,Contact Us,"$300,000 "
185,French Polynesia,280908,1200,34,Contact Us,"$300,000 "
130,Croatia,4105267,1191,44,Contact Us,"$297,632 "
111,Kyrgyzstan,6524195,1174,26,Contact Us,"$293,589 "
76,Rwanda,12952218,1166,20,Contact Us,"$291,425 "
132,Georgia,3989167,1157,38,Contact Us,"$289,215 "
133,Eritrea,3546421,1117,19,Contact Us,"$279,281 "
136,Mongolia,3278290,1098,28,Contact Us,"$274,557 "
125,Central African Republic,4829767,1038,18,NA,"$259,600 "
186,Mayotte,272815,1000,20,Contact Us,"$250,000 "
187,Sao Tome & Principe,219159,1000,19,Contact Us,"$250,000 "
188,Samoa,198414,1000,22,Contact Us,"$250,000 "
189,Saint Lucia,183627,1000,34,Contact Us,"$250,000 "
190,Channel Islands,173863,1000,43,Contact Us,"$250,000 "
191,Guam,168775,1000,31,Contact Us,"$250,000 "
192,Curaçao,164093,1000,42,Contact Us,"$250,000 "
193,Kiribati,119449,1000,23,Contact Us,"$250,000 "
194,Micronesia,115023,1000,24,Contact Us,"$250,000 "
195,Grenada,112523,1000,32,Contact Us,"$250,000 "
196,St. Vincent & Grenadines,110940,1000,33,Contact Us,"$250,000 "
197,Aruba,106766,1000,41,Contact Us,"$250,000 "
198,Tonga,105695,1000,22,Contact Us,"$250,000 "
199,U.S. Virgin Islands,104425,1000,43,Contact Us,"$250,000 "
200,Seychelles,98347,1000,34,Contact Us,"$250,000 "
137,Armenia,2963243,933,35,Contact Us,"$233,355 "
140,Albania,2877797,907,36,Contact Us,"$226,627 "
131,Moldova,4033963,867,38,Contact Us,"$216,826 "
135,Bosnia and Herzegovina,3280819,853,43,Contact Us,"$213,253 "
78,Burundi,11890784,832,17,Contact Us,"$208,089 "
138,Jamaica,2961167,814,31,Contact Us,"$203,580 "
201,Antigua and Barbuda,97929,800,34,Contact Us,"$200,000 "
202,Isle of Man,85033,800,N.A.,Contact Us,"$200,000 "
203,Andorra,77265,800,N.A.,Contact Us,"$200,000 "
204,Dominica,71986,800,N.A.,Contact Us,"$200,000 "
205,Cayman Islands,65722,800,N.A.,Contact Us,"$200,000 "
206,Bermuda,62278,800,N.A.,Contact Us,"$200,000 "
207,Marshall Islands,59190,800,N.A.,Contact Us,"$200,000 "
208,Northern Mariana Islands,57559,800,N.A.,Contact Us,"$200,000 "
209,Greenland,56770,800,N.A.,Contact Us,"$200,000 "
210,American Samoa,55191,800,N.A.,Contact Us,"$200,000 "
211,Saint Kitts & Nevis,53199,800,N.A.,Contact Us,"$200,000 "
212,Faeroe Islands,48863,800,N.A.,Contact Us,"$200,000 "
213,Sint Maarten,42876,600,N.A.,Contact Us,"$150,000 "
98,Papua New Guinea,8947024,582,NA,Contact Us,"$145,389 "
214,Monaco,39242,400,N.A.,Contact Us,"$100,000 "
215,Turks and Caicos,38717,400,N.A.,Contact Us,"$100,000 "
216,Saint Martin,38666,400,N.A.,Contact Us,"$100,000 "
217,Liechtenstein,38128,400,N.A.,Contact Us,"$100,000 "
218,San Marino,33931,400,N.A.,Contact Us,"$100,000 "
219,Gibraltar,33691,400,N.A.,Contact Us,"$100,000 "
220,British Virgin Islands,30231,400,N.A.,Contact Us,"$100,000 "
221,Caribbean Netherlands,26223,400,N.A.,Contact Us,"$100,000 "
222,Palau,18094,400,N.A.,Contact Us,"$100,000 "
223,Cook Islands,17564,400,N.A.,Contact Us,"$100,000 "
224,Anguilla,15003,300,N.A.,Contact Us,"$75,000 "
225,Tuvalu,11792,300,N.A.,Contact Us,"$75,000 "
226,Wallis & Futuna,11239,300,N.A.,Contact Us,"$75,000 "
227,Nauru,10824,300,N.A.,Contact Us,"$75,000 "
228,Saint Barthelemy,9877,300,N.A.,Contact Us,"$75,000 "
229,Saint Helena,6077,300,N.A.,Contact Us,"$75,000 "
230,Saint Pierre & Miquelon,5794,300,N.A.,Contact Us,"$75,000 "
231,Montserrat,4992,300,N.A.,Contact Us,"$75,000 "
232,Falkland Islands,3480,300,N.A.,Contact Us,"$75,000 "
233,Niue,1626,300,N.A.,Contact Us,"$75,000 "
234,Tokelau,1357,300,N.A.,Contact Us,"$75,000 "
